region,season,accuracy,acc_cercania,score_hora,n_samples
Baleares,Winter,0.9125560538116592,0.9820627802690582,0.9949795281731323,892
Baleares,Spring,0.667741935483871,0.810752688172043,0.9268817204301047,930
Baleares,Summer,0.5765957446808511,0.6574468085106383,0.8968547641073067,940
Baleares,Autumn,0.8438202247191011,0.9775280898876404,0.9867122618466022,890
Baleares,Aseasonal,0.7469879518072289,0.8537787513691129,0.9503666841278198,3652
Canarias,Winter,0.8363228699551569,0.9809417040358744,0.9877656463248169,892
Canarias,Spring,0.7698924731182796,0.8,0.929172510518936,930
Canarias,Summer,0.648936170212766,0.674468085106383,0.8867252543940821,940
Canarias,Autumn,0.8550561797752809,0.9719101123595506,0.986516853932581,890
Canarias,Aseasonal,0.7757393209200438,0.8537787513691129,0.9465331682461109,3652
Nacional,Winter,0.5616591928251121,0.7993273542600897,0.9159680249561309,892
Nacional,Spring,0.5580645161290323,0.7161290322580646,0.8831229546517049,930
Nacional,Summer,0.5957446808510638,0.6978723404255319,0.8870490286771482,940
Nacional,Autumn,0.6269662921348315,0.8573033707865169,0.9422569614069353,890
Nacional,Aseasonal,0.5854326396495071,0.7661555312157722,0.9065669793799787,3652
Peninsular,Winter,0.5325112107623319,0.7567264573991032,0.8992006239032939,892
Peninsular,Spring,0.5268817204301075,0.6967741935483871,0.8751753155680211,930
Peninsular,Summer,0.5904255319148937,0.698936170212766,0.88755781683626,940
Peninsular,Autumn,0.6101123595505618,0.8224719101123595,0.9317537860283331,890
Peninsular,Aseasonal,0.5648959474260679,0.7426067907995619,0.8980189532834986,3652
